,Ticker,Industry,Sector
0,4SI.JO,Information Technology Services,Technology
1,ABG.JO,Banks—Regional,Financial Services
2,APF.JO,REIT—Retail,Real Estate
3,ACS.JO,Real Estate—Development,Real Estate
4,ADI.JO,Conglomerates,Industrials
5,AIP.JO,Drug Manufacturers—Specialty & Generic,Healthcare
6,ADR.JO,Staffing & Employment Services,Industrials
7,AVL.JO,Medical Care Facilities,Healthcare
8,ADH.JO,Education & Training Services,Consumer Defensive
9,AFE.JO,Specialty Chemicals,Basic Materials
10,AOO.JO,Apparel Retail,Consumer Cyclical
11,AON.JO,Apparel Retail,Consumer Cyclical
12,ADW.JO,Credit Services,Financial Services
13,AEE.JO,Information Technology Services,Technology
14,AME.JO,Broadcasting,Communication Services
15,AIL.JO,Asset Management,Financial Services
16,ARI.JO,Other Industrial Metals & Mining,Basic Materials
17,AFT.JO,Building Materials,Basic Materials
18,ATI.JO,Specialty Business Services,Industrials
19,ACT.JO,Medical Care Facilities,Healthcare
20,AHL.JO,Packaged Foods,Consumer Defensive
21,ALH.JO,Communication Equipment,Technology
22,AFH.JO,Financial Conglomerates,Financial Services
23,AEL.JO,Information Technology Services,Technology
24,APH.JO,Other Industrial Metals & Mining,Basic Materials
25,AVV.JO,Information Technology Services,Technology
26,AMS.JO,Other Precious Metals & Mining,Basic Materials
27,AGL.JO,Other Industrial Metals & Mining,Basic Materials
28,ANG.JO,Gold,Basic Materials
29,ANH.JO,Beverages—Brewers,Consumer Defensive
30,ARH.JO,Electronics & Computer Distribution,Technology
31,ACL.JO,Steel,Basic Materials
32,ACZ.JO,Lodging,Consumer Cyclical
33,ART.JO,Steel,Basic Materials
34,AHA.JO,REIT—Diversified,Real Estate
35,AHB.JO,REIT—Diversified,Real Estate
36,AHA.JO,REIT—Diversified,Real Estate
37,ASC.JO,Drug Manufacturers—Specialty & Generic,Healthcare
38,APN.JO,Drug Manufacturers—Specialty & Generic,Healthcare
39,ARA.JO,Asset Management,Financial Services
40,ARL.JO,Farm Products,Consumer Defensive
41,ATT.JO,REIT—Diversified,Real Estate
42,AEG.JO,Engineering & Construction,Industrials
43,AEG.JO,Engineering & Construction,Industrials
44,AVI.JO,Packaged Foods,Consumer Defensive
45,AYO.JO,Information Technology Services,Technology
46,BWN.JO,Real Estate—Development,Real Estate
47,BAW.JO,Rental & Leasing Services,Industrials
48,BAU.JO,Other Industrial Metals & Mining,Basic Materials
49,SOLBE1.JO,Oil & Gas Integrated,Energy
50,BEL.JO,Farm & Heavy Construction Machinery,Industrials
51,BHP.JO,Other Industrial Metals & Mining,Basic Materials
52,BID.JO,Food Distribution,Consumer Defensive
53,BVT.JO,Conglomerates,Industrials
54,BLU.JO,Telecom Services,Communication Services
55,BCF.JO,Packaging & Containers,Consumer Cyclical
56,BAT.JO,Asset Management,Financial Services
57,BIK.JO,Conglomerates,Industrials
58,BRT.JO,Asset Management,Financial Services
59,BRN.JO,Asset Management,Financial Services
60,BTI.JO,Tobacco,Consumer Defensive
61,BUC.JO,Thermal Coal,Energy
62,BYI.JO,Software—Application,Technology
63,CAC.JO,Electrical Equipment & Parts,Industrials
64,CGR.JO,Residential Construction,Consumer Cyclical
65,CRP.JO,REIT—Retail,Real Estate
66,CTA.JO,Information Technology Services,Technology
67,CCO.JO,REIT—Retail,Real Estate
68,CPI.JO,Banks—Regional,Financial Services
69,CSB.JO,Home Improvement Retail,Consumer Cyclical
70,CAT.JO,Publishing,Communication Services
71,CHP.JO,Grocery Stores,Consumer Defensive
72,CMO.JO,Other Industrial Metals & Mining,Basic Materials
73,CLH.JO,Lodging,Consumer Cyclical
74,CLS.JO,Pharmaceutical Retailers,Healthcare
75,CLI.JO,Insurance—Diversified,Financial Services
76,CGN.JO,Consulting Services,Industrials
77,CMH.JO,Auto & Truck Dealerships,Consumer Cyclical
78,CFR.JO,Luxury Goods,Consumer Cyclical
79,CND.JO,Insurance—Diversified,Financial Services
80,CML.JO,Asset Management,Financial Services
81,CKS.JO,Farm Products,Consumer Defensive
82,CSG.JO,Staffing & Employment Services,Industrials
83,COH.JO,Education & Training Services,Consumer Defensive
84,DTC.JO,Information Technology Services,Technology
85,DLT.JO,REIT—Office,Real Estate
