,Model_Name,Sector,Ticker,Model_Order,Score
0,"ARIMA(0, 2, 3)",,SYG.JO,"(0, 2, 3)",0.007237269386931471
0,"ARIMA(1, 1, 2)",,ETFSAP.JO,"(1, 1, 2)",882.7724220129835
0,"ARIMA(1, 1, 0)",,GIVISA.JO,"(1, 1, 0)",63.84672171798248
0,"ARIMA(2, 1, 0)",,STXQUA.JO,"(2, 1, 0)",0.4085984947395462
0,"ARIMA(3, 2, 0)",,SYG4IR.JO,"(3, 2, 0)",5.694225455377122e-06
0,"ARIMA(1, 1, 0)",,ETFSWX.JO,"(1, 1, 0)",34.82155814866773
0,"ARIMA(1, 1, 0)",,NFGOVI.JO,"(1, 1, 0)",0.004390333996035583
0,"ARIMA(0, 2, 1)",,NFTRCI.JO,"(0, 2, 1)",0.00114558705297186
0,"ARIMA(2, 2, 3)",,SYG500.JO,"(2, 2, 3)",6.886929002103415e-05
0,"ARIMA(0, 2, 2)",,SYGUS.JO,"(0, 2, 2)",0.07449496099486716
0,"ARIMA(0, 1, 1)",,CSPROP.JO,"(0, 1, 1)",1.9988966451035297
0,"ARIMA(3, 0, 2)",,SYGP.JO,"(3, 0, 2)",23411.04278846504
